brand,sku,product_url,image_url,local_path,contains_person,person_score,kept,status
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,https://via.placeholder.com/160x46,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_002.jpg,unknown,-1,False,download_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_04_51_04_PM_grande.png?v=1788393097,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_000.png,True,0.8503,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_02_23_21_PM_9fd8fa22-2aa2-4c98-9898-379613a86225.png?v=1788384863,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_001.png,False,0.0000,True,checked
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/IMG_9356_JPG_80x80.jpg?v=1788387847,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_003.jpg,True,0.7006,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_03_53_PM_80x80.png?v=1788394012,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_004.png,True,0.7581,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_04_51_04_PM.png?v=1788393097,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_005.png,True,0.8629,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_04_40_31_PM.png?v=1788392464,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_006.png,True,0.8815,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_04_48_03_PM.png?v=1788393098,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_007.png,True,0.8812,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_04_49_08_PM.png?v=1788393098,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_008.png,True,0.9136,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/t/2/assets/loading.gif?v=70316576320155527421733976823,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_009.gif,False,0.0000,True,checked
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/IMG_9356_JPG.jpg?v=1788387847,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_010.jpg,True,0.8818,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/IMG_9399_JPG.jpg?v=1788387854,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_011.jpg,True,0.9160,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_03_53_PM.png?v=1788394012,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_012.png,True,0.9242,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_04_28_PM.png?v=1788394020,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_013.png,True,0.9137,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_24_37_PM.png?v=1788396169,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_014.png,True,0.9388,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_25_44_PM.png?v=1788396184,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_015.png,True,0.9304,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_06_01_11_PM.png?v=1788641129,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_016.png,True,0.8890,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,https://via.placeholder.com/247x23,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_019.jpg,unknown,-1,False,download_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,https://via.placeholder.com/960x997,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_021.jpg,unknown,-1,False,download_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_06_00_50_PM.png?v=1788641135,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_017.png,unknown,-1.0000,False,detection_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_19_48_PM.png?v=1788722427,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_018.png,unknown,-1.0000,False,detection_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/cdn/shop/t/2/assets/favicon.png?v=42975679212225408901733976822,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_020.png,unknown,-1.0000,False,detection_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/avit,https://goldenmanhouse.com/account/login,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_avit\img_022.jpg,unknown,-1.0000,False,detection_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/oxford-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_02_56_58_PM_grande.png?v=1788645621,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_oxford-shirt\img_000.png,unknown,-1.0000,False,detection_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/oxford-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_01_19_13_PM_80x80.png?v=1788643195,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_oxford-shirt\img_003.png,unknown,-1.0000,False,detection_failed
Golden Man House,,https://goldenmanhouse.com/ar/products/oxford-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_5_2026_02_38_23_PM_80x80.png?v=1788644450,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_oxford-shirt\img_004.png,unknown,-1.0000,False,detection_failed
